Make,Model,Year,Price,Mileage,Body_Type,Cylinders,Transmission,Fuel_Type,Color,Location
mercedes-benz,s-class,2012,698687,111462,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai
toyota,tacoma,2024,63635,86923,Pick Up Truck,6,Automatic Transmission,Gasoline,Red, Ajman
mitsubishi,pajero,2008,72079,11124,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
dodge,charger,2011,66672,46940,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai
aston-martin,db9,2012,359178,34161,Coupe,12,Automatic Transmission,Gasoline,Brown, Dubai
mitsubishi,pajero,2020,55629,78720,SUV,6,Automatic Transmission,Gasoline,White, Dubai
volkswagen,id4,2006,122520,206783,Crossover,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi
toyota,land-cruiser-76-series,2016,224023,10614,SUV,6,Manual Transmission,Gasoline,Red, Dubai
honda,pilot,2018,28179,227533,SUV,6,Automatic Transmission,Gasoline,Burgundy, Sharjah
ford,f-series-pickup,2020,109476,246976,Other,6,Automatic Transmission,Gasoline,Black, Sharjah
lexus,is-series,2022,149492,261503,Sedan,6,Automatic Transmission,Gasoline,White, Sharjah
infiniti,q80,2005,219976,244918,SUV,8,Automatic Transmission,Gasoline,White, Dubai
dodge,charger,2015,164258,141978,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai
nissan,patrol,2015,50685,56908,SUV,6,Manual Transmission,Gasoline,Black, Dubai
toyota,rav-4,2020,64031,172212,SUV,4,Automatic Transmission,Gasoline,White, Sharjah
mercedes-benz,e-class,2007,54671,158662,Sedan,8,Automatic Transmission,Gasoline,Grey, Sharjah
mercedes-benz,gle-coupe,2010,266291,166998,Coupe,6,Automatic Transmission,Gasoline,White, Dubai
toyota,scion,2009,15008,148971,Coupe,4,Automatic Transmission,Gasoline,White, Dubai
lexus,rx-series,2023,146121,231851,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah
maserati,levante,2024,479767,97183,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai
ford,mustang,2012,59671,94038,Soft Top Convertible,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,glc,2012,168288,299098,SUV,4,Automatic Transmission,Gasoline,Black, Dubai
hyundai,azera,2009,28611,281107,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi
land-rover,range-rover-sport,2021,117968,296307,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi
tesla,model-3,2006,262547,148432,Sedan,4,Automatic Transmission,Electric,White, Dubai
toyota,fj-cruiser,2013,37217,39341,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
nissan,patrol,2023,140141,109434,SUV,6,Automatic Transmission,Gasoline,White, Dubai
maybach,other,2006,1087120,78564,SUV,8,Automatic Transmission,Gasoline,White, Dubai
rolls-royce,cullinan,2005,2693217,99115,SUV,12,Automatic Transmission,Gasoline,Black, Dubai
toyota,land-cruiser,2021,356197,116372,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
volkswagen,polo,2018,16936,122105,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai
ferrari,portofino,2011,771068,143715,Hard Top Convertible,8,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,c-class,2006,34300,223864,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
