iter	RMSE
0	438038.7301
1	419002.8953
2	404422.9485
3	388527.0771
4	374492.8018
5	361622.238
6	350474.7116
7	347911.1003
8	337998.0113
9	331274.8976
10	328604.4113
11	319830.1965
12	317518.3922
13	315509.4188
14	309774.0868
15	307828.3855
16	306061.8849
17	299250.4697
18	297638.6648
19	296011.4148
20	294513.1377
21	289779.5572
22	288410.7359
23	283937.5754
24	282524.0887
25	281394.1501
26	280090.4327
27	279128.4299
28	278197.9611
29	271868.2419
30	270729.9117
31	267351.647
32	266574.5663
33	265759.9874
34	261087.828
35	256003.1901
36	255207.4317
37	253484.9072
38	252644.6568
39	249322.7908
40	245902.3049
41	242911.7344
42	242146.4892
43	241481.6094
44	237896.2191
45	234611.3277
46	234044.3474
47	233385.9579
48	231382.0227
49	230817.7361
50	228473.7452
51	226824.3672
52	226303.973
53	225202.6012
54	224744.7411
55	223822.3063
56	221889.8784
57	221341.0502
58	219436.4117
59	218781.6982
60	217820.2434
61	215834.0357
62	215320.2025
63	214462.2135
64	213400.3827
65	212360.9125
66	212161.7467
67	210557.9673
68	210358.5306
69	208511.7586
70	207328.2893
71	206121.2962
72	205480.4804
73	203892.3369
74	203517.6693
75	202575.2063
76	201648.1251
77	201432.0667
78	200533.9696
79	200246.5
80	198916.9327
81	198140.3445
82	196838.0646
83	196199.4711
84	195914.3384
85	195725.0115
86	195281.0143
87	194275.985
88	193483.8474
89	192666.0758
90	191641.1625
91	190860.7098
92	190523.6777
93	189581.6505
94	188553.6263
95	188211.7527
96	187893.1131
97	187614.3705
98	187241.2913
99	186332.6369
