iter	Passed	Remaining
0	236	23412
1	316	15515
2	323	10467
3	351	8444
4	435	8279
5	533	8362
6	629	8367
7	727	8371
8	816	8252
9	869	7826
10	966	7823
11	1053	7726
12	1130	7565
13	1215	7465
14	1299	7365
15	1329	6978
16	1422	6944
17	1510	6882
18	1577	6726
19	1668	6675
20	1758	6614
21	1845	6543
22	1895	6344
23	1911	6054
24	2003	6009
25	2089	5945
26	2174	5877
27	2261	5815
28	2268	5554
29	2358	5503
30	2449	5451
31	2534	5385
32	2622	5324
33	2637	5119
34	2726	5063
35	2813	5002
36	2862	4873
37	2952	4817
38	3041	4757
39	3132	4699
40	3204	4610
41	3293	4547
42	3302	4377
43	3392	4317
44	3482	4255
45	3571	4192
46	3657	4124
47	3747	4059
48	3829	3986
49	3879	3879
50	3957	3802
51	4050	3739
52	4138	3670
53	4221	3596
54	4311	3527
55	4400	3457
56	4490	3387
57	4580	3316
58	4670	3245
59	4717	3145
60	4809	3075
61	4899	3002
62	4989	2930
63	5058	2845
64	5150	2773
65	5256	2707
66	5270	2596
67	5385	2534
68	5390	2421
69	5486	2351
70	5583	2280
71	5682	2210
72	5785	2139
73	5879	2065
74	5956	1985
75	6053	1911
76	6152	1837
77	6183	1744
78	6278	1668
79	6377	1594
80	6477	1519
81	6579	1444
82	6662	1364
83	6762	1288
84	6860	1210
85	6868	1118
86	6966	1041
87	7047	961
88	7146	883
89	7242	804
90	7342	726
91	7444	647
92	7544	567
93	7636	487
94	7730	406
95	7835	326
96	7935	245
97	8031	163
98	8115	81
99	8207	0
