iter	RMSE
0	0.9047595736
1	0.8482117063
2	0.8040053499
3	0.7722960605
4	0.7437087246
5	0.7216468518
6	0.7050355558
7	0.6916732257
8	0.6793418865
9	0.6705389161
10	0.6641454677
11	0.6587673587
12	0.6534460295
13	0.6479899207
14	0.6445313212
15	0.642137871616	0.6402777117	17	0.63887981118	0.6368902863
19	0.6356624127
20	0.6344188017
21	0.6329588622	22	0.6320292323	23	0.6308440024	24	0.6297768225	25	0.6287555426	26	0.6274963779
27	0.6262163501
28	0.6255778176
29	0.6249557278
30	0.624375526
31	0.6237227292
32	0.6223430818
33	0.6214251013
34	0.6201969397
35	0.6198461948
36	0.6190350825
37	0.6186738747
38	0.6180688622
39	0.6176447793
40	0.6168360026
41	0.6164021668
42	0.6159824837
43	0.6156659937
44	0.6154365081
45	0.61501713
46	0.6146371175
47	0.6142996787
48	0.6138193425
49	0.6133287012
50	0.6131060651
51	0.6122570993
52	0.6118035262
53	0.6114843711
54	0.6103995852
55	0.6101303381
56	0.6094357856
57	0.609055687
58	0.6076273636
59	0.6070262371
60	0.6064849827
61	0.6062025555
62	0.6058195165
63	0.6055403089
64	0.60489565	0.65	0.6043961124
66	0.60372667	0.67	0.6029368	0.568	0.6019369	0.569	0.6015370	0.570	0.6008171	0.71	0.60027572	0.72	0.5999773	0.573	0.5993374	0.574	0.598875	0.5975	0.598276	0.5976	0.597877	0.5977	0.59778	0.59078	0.59679	0.59079	0.59680	0.58980	0.59581	0.58981	0.59582	0.5882	0.59483	0.58883	0.59384	0.58784	0.59385	0.5885	0.593386	0.586	0.5926887	0.587	0.5919188	0.5855739758
89	0.5845268784
90	0.5840080155
91	0.5830053226
92	0.592	0.589093	0.5893	0.58894	0.5812200881
95	0.5806617484
96	0.5800111922
97	0.5794785222
98	0.5790135467
99	0.5785849723
100	0.5780729011
101	0.5776376608
102	0.5772648288
103	0.5763638542
104	0.5754743129
105	0.5748697691
106	0.5744299053
107	0.57385485
108	0.5734269229
109	0.5728944115
110	0.5724295372
111	0.5719346903
112	0.5714893971
113	0.5713561342
114	0.5710384534
115	0.5704176748
116	0.5696906869
117	0.5692603772
118	0.5689288428
119	0.568163122
120	0.5673966675
121	0.5668381522
122	0.5664678028
123	0.5657470225
124	0.5653117652
125	0.5649835764
126	0.5647689273
127	0.5646286434
128	0.5642830245
129	0.5640300722
130	0.5638025363
131	0.5633816063
132	0.5630887529
133	0.5625374753
134	0.5622134	0.5135	0.5615135	0.5136	0.5610136	0.5137	0.560137	0.56138	0.560090556
139	0.559139	0.56140	0.5587798761
141	0.558141	0.56142	0.557142	0.5661458008
143	0.5655975939
144	0.5145	0.5567145	0.5146	0.5565146	0.5643808008
147	0.148	0.55576148	0.149	0.5554842176
150	0.5551150	0.5623884515
151	0.5619093309
152	0.5615147991
153	0.5611767747
154	0.5608658764
155	0.5603154377
156	0.5157	0.5529157	0.158	0.55267158	0.159	0.55229159	0.160	0.5520503137
161	0.5517172995
162	0.55143162	0.163	0.55117163	0.164	0.55088164	0165	0.5504332717
166	0.5497027161
167	0.549388167	0168	0.548904168	0169	0.548652169	0170	0.548360170	0171	0.5481714563
172	0.5476636933
173	0.5474238256
174	0.5471253816
175	0.5468373657
176	0.546382558
177	0.5457405648
178	0.5453660805
179	0.5446337604
180	0.5443193162
181	0.5440811057
182	0.5436231758
183	0.5432189371
184	0.54289637
185	0.5426814142
186	0.5423580355
187	0.5420666081
188	0.5416949713
189	0.5413513172
190	0.5410357227
191	0.5408416204
192	0.5402314216
193	0.5396384309
194	0.5393254839
195	0.5388684306
196	0.5384748246
197	0.5381166272
198	0.5378506603
199	0.5376790881
200	0.5372423993
201	0.5368518617
202	0.5365932001
203	0.536251029
204	0.5359322473
205	0.5356224809
206	0.5353447206	207	0.5349623675
208	0.5345623812
209	0.5344264789
210	0.5340833063
211	0.5335480849
212	0.5331177544
213	0.5327024071
214	0.5323366215
215	0.5319799432
216	0.5316276779
217	0.5313980752
218	0.5311667767
219	0.5308223857
220	0.5306110074
221	0.53026221	0.222	0.5297912288
223	0.5294923223
224	0.5290360338
225	0.5286841763
226	0.52835226	0.227	0.5279621499
228	0.5276430387
229	0.5273583281
230	0.526962318
231	0.5265674475
232	0.5263163885
233	0.5257825848
234	0.5254435529
235	0.525222314
236	0.524828645
237	0.5239870901
238	0.5237395968
239	0.5236560959
240	0.5235116374
241	0.5233088759
242	0.5228321058
243	0.5226220608
244	0.5224276056
245	0.5221487963
246	0.5219044689
247	0.5216315692
248	0.5211654551
249	0.5208280568
250	0.5206108664
251	0.5201977414
252	0.5200802657
253	0.519603521
254	0.519393331
255	0.519181876
256	0.5189716883
257	0.5185493404
258	0.5180106126
259	0.5178475563
260	0.5175587391
261	0.517248877
262	0.5168644345
263	0.5165782093
264	0.5163163025
265	0.5160932019
266	0.5157987502
267	0.5155885431
268	0.5152373124
269	0.5150011025
270	0.5147456649
271	0.5142779544
272	0.5139133753
273	0.5136626325
274	0.5134395834
275	0.5132888069
276	0.5131653276
277	0.5129294397
278	0.5127590638
279	0.5123472641
280	0.5120284237
281	0.5117124128
282	0.511373444
283	0.5111354712
284	0.5109118777
285	0.5107351008
286	0.5104647101
287	0.5100794962
288	0.509655326
289	0.5093530796
290	0.5089121053
291	0.5086757791
292	0.5082592581
293	0.5080187068
294	0.5076838552
295	0.5073993291
296	0.5072156793
297	0.5070026222
298	0.5067527614
299	0.5064833179
72706626

