iter	Passed	Remaining
0	18	9066
1	35	8959
2	54	9108
3	73	9171
4	94	9317
5	114	9399
6	133	9433
7	153	9418
8	172	9423
9	192	9454
10	213	9512
11	236	9630
12	263	9853
13	291	10110
14	318	10310
15	346	10472
16	373	10604
17	402	10779
18	430	10896
19	457	10979
20	485	11084
21	513	11149
22	539	11197
23	566	11244
24	593	11275
25	619	11291
26	645	11315
27	672	11333
28	699	11364
29	726	11376
30	752	11381
31	777	11376
32	803	11372
33	829	11362
34	852	11320
35	875	11289
36	900	11263
37	924	11240
38	928	10974
39	953	10963
40	978	10953
41	1005	10967
42	1032	10976
43	1059	10984
44	1086	10985
45	1112	10979
46	1138	10970
47	1163	10952
48	1188	10937
49	1212	10915
50	1236	10884
51	1259	10846
52	1282	10812
53	1304	10775
54	1327	10738
55	1349	10697
56	1371	10662
57	1394	10628
58	1416	10591
59	1440	10564
60	1464	10537
61	1486	10501
62	1509	10472
63	1534	10455
64	1560	10444
65	1589	10449
66	1616	10446
67	1643	10440
68	1671	10439
69	1698	10432
70	1725	10426
71	1752	10415
72	1777	10395
73	1801	10372
74	1827	10357
75	1854	10346
76	1882	10339
77	1909	10332
78	1935	10314
79	1960	10290
80	1984	10263
81	2008	10239
82	2032	10209
83	2055	10180
84	2078	10146
85	2100	10112
86	2126	10096
87	2155	10089
88	2184	10087
89	2215	10091
90	2246	10097
91	2281	10117
92	2314	10130
93	2350	10151
94	2384	10165
95	2417	10174
96	2456	10207
97	2509	10294
98	2582	10460
99	2633	10532
100	2665	10529
101	2696	10523
102	2730	10523
103	2761	10516
104	2795	10516
105	2829	10518
106	2858	10499
107	2886	10477
108	2916	10462
109	2944	10438
110	2971	10413
111	2998	10388
112	3024	10357
113	3051	10332
114	3078	10305
115	3104	10278
116	3133	10257
117	3160	10231
118	3187	10204
119	3213	10176
120	3240	10150
121	3267	10124
122	3293	10095
123	3319	10066
124	3346	10040
125	3372	10011
126	3396	9974
127	3419	9936
128	3440	9895
129	3462	9854
130	3485	9816
131	3510	9786
132	3536	9757
133	3562	9731
134	3588	9701
135	3612	9668
136	3636	9634
137	3659	9599
138	3683	9565
139	3711	9544
140	3738	9517
141	3766	9495
142	3793	9471
143	3820	9445
144	3848	9421
145	3875	9396
146	3901	9369
147	3928	9342
148	3953	9312
149	3978	9283
150	4005	9258
151	4031	9230
152	4055	9198
153	4080	9167
154	4102	9132
155	4126	9100
156	4150	9067
157	4173	9034
158	4198	9003
159	4224	8977
160	4254	8958
161	4281	8932
162	4285	8859
163	4312	8834
164	4338	8809
165	4366	8785
166	4393	8760
167	4420	8735
168	4447	8710
169	4450	8639
170	4477	8614
171	4503	8588
172	4531	8564
173	4556	8537
174	4583	8512
175	4609	8486
176	4633	8456
177	4657	8425
178	4680	8393
179	4704	8362
180	4727	8331
181	4748	8297
182	4773	8269
183	4798	8241
184	4824	8215
185	4850	8187
186	4876	8162
187	4903	8137
188	4931	8114
189	4959	8092
190	4986	8067
191	5012	8040
192	5039	8015
193	5067	7992
194	5093	7966
195	5121	7942
196	5148	7919
197	5177	7897
198	5205	7873
199	5231	7847
200	5258	7822
201	5285	7797
202	5311	7770
203	5339	7746
204	5366	7722
205	5393	7697
206	5423	7676
207	5450	7651
208	5479	7628
209	5505	7602
210	5532	7577
211	5560	7554
212	5588	7530
213	5616	7506
214	5645	7483
215	5672	7458
216	5701	7435
217	5729	7411
218	5757	7387
219	5783	7361
220	5810	7335
221	5837	7310
222	5867	7287
223	5893	7262
224	5927	7244
225	5954	7219
226	5981	7193
227	6008	7167
228	6036	7143
229	6063	7118
230	6090	7092
231	6116	7066
232	6146	7043
233	6173	7017
234	6201	6992
235	6228	6967
236	6255	6941
237	6282	6916
238	6309	6890
239	6335	6863
240	6360	6835
241	6382	6804
242	6403	6772
243	6424	6740
244	6446	6709
245	6469	6679
246	6492	6649
247	6515	6620
248	6541	6594
249	6568	6568
250	6594	6541
251	6620	6515
252	6644	6487
253	6672	6462
254	6699	6437
255	6728	6413
256	6755	6387
257	6782	6361
258	6808	6335
259	6834	6308
260	6862	6283
261	6888	6257
262	6916	6232
263	6944	6207
264	6971	6182
265	6999	6157
266	7025	6131
267	7053	6105
268	7080	6080
269	7106	6054
270	7133	6028
271	7161	6003
272	7188	5977
273	7215	5951
274	7242	5925
275	7274	5903
276	7306	5882
277	7336	5858
278	7364	5833
279	7391	5807
280	7421	5784
281	7450	5759
282	7477	5733
283	7504	5707
284	7530	5681
285	7557	5654
286	7584	5628
287	7609	5601
288	7637	5575
289	7664	5550
290	7690	5523
291	7717	5497
292	7744	5471
293	7770	5444
294	7796	5418
295	7823	5391
296	7849	5364
297	7874	5337
298	7897	5308
299	7917	5278
300	7935	5246
301	7953	5214
302	7971	5182
303	7989	5151
304	8008	5120
305	8027	5089
306	8045	5058
307	8063	5026
308	8080	4994
309	8097	4963
310	8114	4931
311	8131	4899
312	8148	4868
313	8164	4836
314	8181	4805
315	8199	4774
316	8217	4743
317	8235	4713
318	8254	4683
319	8273	4653
320	8291	4623
321	8310	4593
322	8328	4564
323	8347	4534
324	8366	4504
325	8384	4475
326	8402	4445
327	8420	4415
328	8437	4385
329	8454	4355
330	8471	4325
331	8488	4295
332	8505	4265
333	8522	4235
334	8541	4206
335	8558	4177
336	8576	4148
337	8595	4119
338	8613	4090
339	8631	4061
340	8649	4033
341	8667	4004
342	8685	3975
343	8702	3946
344	8719	3917
345	8737	3889
346	8755	3860
347	8773	3832
348	8791	3803
349	8808	3775
350	8826	3746
351	8844	3718
352	8862	3690
353	8879	3662
354	8897	3634
355	8914	3605
356	8932	3577
357	8949	3549
358	8967	3522
359	8987	3495
360	9005	3467
361	9024	3440
362	9043	3413
363	9063	3386
364	9082	3359
365	9101	3332
366	9121	3305
367	9141	3279
368	9160	3252
369	9179	3225
370	9198	3198
371	9216	3171
372	9233	3143
373	9250	3116
374	9267	3089
375	9286	3062
376	9304	3035
377	9323	3009
378	9341	2982
379	9360	2955
380	9378	2929
381	9395	2902
382	9413	2875
383	9433	2849
384	9451	2823
385	9471	2797
386	9493	2771
387	9514	2746
388	9536	2721
389	9559	2696
390	9585	2672
391	9610	2647
392	9633	2622
393	9657	2598
394	9682	2573
395	9708	2549
396	9732	2525
397	9755	2500
398	9777	2475
399	9801	2450
400	9826	2425
401	9852	2401
402	9879	2377
403	9906	2353
404	9934	2330
405	9961	2306
406	9988	2282
407	10014	2258
408	10042	2234
409	10068	2210
410	10094	2185
411	10121	2161
412	10147	2137
413	10176	2113
414	10203	2089
415	10231	2065
416	10258	2041
417	10285	2017
418	10312	1993
419	10340	1969
420	10366	1945
421	10393	1921
422	10420	1896
423	10446	1872
424	10473	1848
425	10499	1823
426	10526	1799
427	10553	1775
428	10580	1751
429	10608	1726
430	10635	1702
431	10664	1678
432	10692	1654
433	10720	1630
434	10748	1606
435	10777	1581
436	10803	1557
437	10831	1533
438	10859	1508
439	10890	1485
440	10925	1461
441	10958	1438
442	10989	1414
443	11020	1389
444	11050	1365
445	11081	1341
446	11109	1317
447	11137	1292
448	11165	1268
449	11195	1243
450	11226	1219
451	11258	1195
452	11288	1171
